dataset_index,data_uuid,data_name,view_count,download_count,description,update_frequency,data_owner,data_page_url,data_category,asset_type,view_type,size_in_bytes,readable_size,latest_update_time
878,a8rp-fpnn,DYCD after-school programs: Adolescent Literacy,646,2574,"Facilities in New York City, by agency and site, that offer after-school programs and learning resources for adolescent literacy.",One-time,Department of Youth and Community Development (DYCD),https://data.cityofnewyork.us/Education/DYCD-after-school-programs-Adolescent-Literacy/a8rp-fpnn,Education,dataset,tabular,3360.0,3.36 KB,2017-09-15
879,a8si-arxu,Student Discipline Annual Report - ELL,102,70,"Student discipline annual report for English Language Learner aggregated by removals, principal, and/or superintendent intervention and expulsions.",Annually,NYC Department of Education,https://data.cityofnewyork.us/Education/2017-2018-Student-Discipline-Annual-Report-ELL/a8si-arxu,Education,dataset,tabular,107542.0,107.54 KB,2020-10-30
880,a8wp-rerh,Self Hauler Registrants,10137,4246,"Companies listed as of the most recent export date have been issued Class 1 self-hauler registrations by the Business Integrity Commission. They are authorized to remove, collect or dispose of trade waste that is generated in the course of operation of such person's business. (Companies removing, collecting or disposing of construction and demolition debris must apply for Exemption from Licensing Requirements, otherwise known as Class 2 Construction and Demolition Registration).  This data is collected on the entities that apply with the commission to operate as class 1 self hauler registrants.   Each record represents an entity that is approved to operate in the City of New York by the Commission.   The  Application Type field denotes the class of application 'CL1' noting the type of applicant which is Class 1 Self Hauler Registration  The BIC Number field is unique to every company that applies to the Commission.",Daily,Business Integrity Commission (BIC),https://data.cityofnewyork.us/City-Government/Self-Hauler-Registrants/a8wp-rerh,City Government,dataset,tabular,148890580.0,148.89 MB,2021-12-16
881,a94k-kjys,Capacity Projects  by schools,836,1426,Capacity project detail by school.,Annually,School Construction Authority (SCA),https://data.cityofnewyork.us/Education/Capacity-Projects-by-schools/a94k-kjys,Education,dataset,tabular,8846.0,8.85 KB,2021-04-26
882,a9md-ynri,Civil Service List Certification,378286,11958,"A List Certification includes the names of eligible candidates on an Active Civil Service List that has been established.  The Certification may contain part of a list, the whole list, or multiple lists at the request of an appointing agency, to fill vacancies and/or replace provisionals.  Eligible candidates on a Certification may be considered for probable appointment at the appointing Agency.  For more information visit DCAS’ “Work for the City” webpage at: https://www1.nyc.gov/site/dcas/employment/take-an-exam.page",Monthly,Department of Citywide Administrative Services (DCAS),https://data.cityofnewyork.us/City-Government/Civil-Service-List-Certification/a9md-ynri,City Government,dataset,tabular,385302385.0,385.3 MB,2021-12-15
884,a9xv-vek9,Sidewalk Centerline,792,583,Please see the following link for additional documentation- https://github.com/CityOfNewYork/nyc-planimetrics/blob/master/Capture_Rules.md.,One-time,Department of Information Technology & Telecommunications (DoITT),https://data.cityofnewyork.us/dataset/Sidewalk-Centerline/a9xv-vek9,Missing,map,geo,36619262.0,36.62 MB,2016-03-14
885,aa5e-digs,Entry Point LCR Monitoring Results,734,1482,"Daily results from the entry points for orthophosphate, pH, temperature, conductivity and monthly alkalinity, calcium, lead and copper - Bi annually updated",Annually,Department of Environmental Protection (DEP),https://data.cityofnewyork.us/Environment/Entry-Point-LCR-Monitoring-Results/aa5e-digs,Environment,dataset,tabular,342250.0,342.25 KB,2021-07-13
886,aa5u-mys6,"DOF: Summary of Neighborhood Sales in Queens for Class 1-, 2- and 3-Family homes",498,2130,"The Department of Finance (DOF) maintains records for all property sales in New York City, including sales of family homes in each borough. This list is a summary of neighborhood sales for Class 1-, 2- and 3-Family homes in Queens in 2008.  This list includes all sales of 1-, 2-, and 3-Family Homes' from January 1st, 2008 to December 31, 2008, whose sale price is equal to or more than $150,000.  The Building Class Category for Sales is based on the Building Class at the time of the sale.  Update Schedule: Annually",One-time,Department of Finance (DOF),https://data.cityofnewyork.us/Housing-Development/DOF-Summary-of-Neighborhood-Sales-in-Queens-for-Cl/aa5u-mys6,Housing & Development,dataset,tabular,17679.0,17.68 KB,2013-06-21
887,aabe-yfm9,NYC City Council Committee Membership,658,2355,"The Council has numerous standing committees that practice oversight of New York City functions, including human services, infrastructure, and government affairs. Each committee is headed by a Council Member (the Chair), includes at least five members, and meets at least once a month. In addition, the Council has several subcommittees, which are convened to review and make recommendations regarding topics of particular interest.  After proposed legislation is heard by its appropriate Committee, it may be voted on and approved at that Committee. If the legislation is passed by Committee, is then sent to be considered by the whole Council. Council Members are assigned to committees through a process that the entire Council votes on.  The NYC City Council Committee Membership dataset is drawn from the City Council's legislative API and updated weekly. Committee membership by City Council Members changes infrequently. This dataset includes committee membership starting Jan 1, 2018.   Committee Descriptions: https://council.nyc.gov/committees/   Github: https://github.com/NewYorkCityCouncil/districts/tree/master/district_data/committees   More info and API Key for Legislative API: https://council.nyc.gov/legislation/api/   Legislative API endpoints utilized for Committee Membership:   1)http://webapi.legistar.com/Help/Api/GET-v1-Client-Bodies  https://webapi.legistar.com/v1/nyc/bodies/?token={}&$filter=(BodyTypeName+eq+'Committee'+or+BodyTypeName+eq+'Subcommittee'+or+BodyTypeName+eq+'Land Use')+and+BodyActiveFlag+eq+1   2)http://webapi.legistar.com/Help/Api/GET-v1-Client-Bodies-BodyId-OfficeRecords  https://webapi.legistar.com/v1/nyc/bodies/{}/officerecords/?token={}&$filter=OfficeRecordStartDate+ge+datetime'{}'+and+OfficeRecordEndDate+eq+datetime'{}",Monthly,City Council (NYCC),https://data.cityofnewyork.us/City-Government/NYC-City-Council-Committee-Membership/aabe-yfm9,City Government,dataset,tabular,77061.0,77.06 KB,2021-12-16
890,ab4a-qhzt,Parks Zones Map,508,1,"Larger NYC parks (generally >20 acres) are subdivided into smaller sections that make inspecting these parks feasible and efficient.  These sections are called ""zones.""   The size and boundaries usually conform to one or more of the following criteria:  Zones should be inspectable in 1-2 hours; zone boundaries should follow the park’s features (paths, tree lines, etc) whenever possible; and/or conform to pre-existing boundaries used to divide the park for maintenance; and/or define a cohesive area within the park (ballfields, wooded areas, etc).  Besides zones, this layer contains a handful of Sitting Areas that are part of larger parks but could not be defined as zones due to their smaller size.",Monthly,Department of Parks and Recreation (DPR),https://data.cityofnewyork.us/City-Government/Parks-Zones-Map/ab4a-qhzt,City Government,map,tabular,896.0,896 bytes,2021-12-08
891,abgn-8q46,Class Size - Citywide Summary,602,1687,"This file shows citywide average class sizes, aggregated by grade and program type. For grades 5-9 (where available) and 9-12, the data are shown by program type and core course. Based on January 28, 2011 data. * Grade 9 Official Class data is included for 0K-09 schools. Core Course information for these sections is not reported.",One-time,NYC Department of Education,https://data.cityofnewyork.us/Education/2010-2011-Class-Size-Citywide-Summary/abgn-8q46,Education,dataset,tabular,7392.0,7.39 KB,2011-10-14
893,abnr-s7g4,Local Law 44 - Developer Selection,660,438,"The Developer Selection data table Includes information on developer selection methods for each Local Law 44 Housing Development Project. This information is reported pursuant to Local Law 44 of 2012, and is part of the <a <a href='https://data.cityofnewyork.us/browse?Data-Collection_Data-Collection=HPD+Local+Law+44'>Housing Projects Receiving City Financial Assistance (Local Law 44) collection of data tables</a>.",Annually,Department of Housing Preservation and Development (HPD),https://data.cityofnewyork.us/Housing-Development/Local-Law-44-Developer-Selection/abnr-s7g4,Housing & Development,dataset,tabular,26763.0,26.76 KB,2021-10-19
897,acdt-2zt9,Open Data Plan: Future Releases,141,31,"The collection of datasets set to be released on the Open Data Portal, according to the 2021 Open Data Plan.",One-time,Department of Information Technology & Telecommunications (DoITT),https://data.cityofnewyork.us/dataset/2021-Open-Data-Plan-Future-Releases/acdt-2zt9,Missing,dataset,tabular,66381.0,66.38 KB,2021-09-15
898,acek-a5z6,Summer Youth Employment Program  for NYCHA Residents by NYCHA development- Local Law 163,250,591,"This datasets contains information about <a href=""https://www1.nyc.gov/site/dycd/services/jobs-internships/summer-youth-employment-program-syep.page"">Summer Youth Employment Program (SYEP)</a>, a service offered by the Department of Youth and Community Development (DYCD) aimed at getting young New Yorkers paid work experience and career exploration opportunities. Each row in the dataset represents the number of public housing residents on a NYCHA Development-level who receive or utilize this service.  The datasets in this report can be searched by using the keyword “Services available to NYCHA Residents - Local Law 163 (2016)” on the Open Data Portal.",Annually,Department of Youth and Community Development (DYCD),https://data.cityofnewyork.us/Social-Services/Summer-Youth-Employment-Program-SYEP-for-NYCHA-Res/acek-a5z6,Social Services,dataset,tabular,24248.0,24.25 KB,2020-12-07
900,acxz-h8b8,Prelim Average Class Size Borough - MS & HS,167,36,"Preliminary Class Size Report Middle School and High School Core Average Class Size  Core courses identified as English, Math, Social Studies, and Science classes for grades 6-12, where available in the scheduling application.  General Education and Integrated Co-Teaching (ICT) classes and course sections with more than 100 students or fewer than seven students are excluded from this report, as are self-contained courses with fewer than two students.",Annually,NYC Department of Education,https://data.cityofnewyork.us/Education/Prelim-Average-Class-Size-Borough-MS-HS/acxz-h8b8,Education,dataset,tabular,27989.0,27.99 KB,2021-02-01
901,ad38-uy5g,Department for the Aging  Services by Senior Center Contracted Providers,542,557,Listing of registered and contracted agencies providing Senior Center Services with Budgeted Units of Service.,Monthly,Department for the Aging (DFTA),https://data.cityofnewyork.us/Social-Services/Department-for-the-Aging-DFTA-Services-by-Senior-C/ad38-uy5g,Social Services,dataset,tabular,29521.0,29.52 KB,2021-07-15
903,adax-9mit,Speculation Watch List,3405,606,"List of sales of select rent-regulated multiple dwellings where there may be potential for speculation. This list is promulgated pursuant to Local Law 7 of 2018 and 28 RCNY Chapter 52. This list is a subset of data provided in the LL7-2018 Qualified Transactions file.  Please note that borough, block, and lot is the best geographic identifier for this data set, and Building Identification Number (BIN) is provided for convenience only. BIN as provided in this dataset may be inaccurate, as more than one BIN may be associated with borough, block, and lot. This list is a subset of data provided in the<a href=""https://data.cityofnewyork.us/Housing-Development/Local-Law-7-2018-Qualified-Transactions/8wi4-bsy4"">LL7-2018 Qualified Transactions file</a>.",Monthly,Department of Housing Preservation and Development (HPD),https://data.cityofnewyork.us/Housing-Development/Speculation-Watch-List/adax-9mit,Housing & Development,dataset,tabular,39781.0,39.78 KB,2020-02-28
904,adqm-qibj,School Closure Discharge Reporting - All Districts,134,566,"In June 2013, Some New York City public schools closed for poor performance.  This report provides data regarding students enrolled in these schools during the 2012-2013 school year, according to the guidelines set by Local Law 2011/043.",One-time,NYC Department of Education,https://data.cityofnewyork.us/Education/2012-2013-School-Closure-Discharge-Reporting-All-D/adqm-qibj,Education,dataset,tabular,1.0,1 byte,2018-03-26
907,aejp-3ws7,Local Law 22 of  Worker Cooperative Reports,147,65,"The report includes the following: the number and total dollar value of City contracts awarded to worker cooperatives, disaggregated by agency and type of business; the number and total dollar value of all City contracts, disaggregated by agency and type of business; and the percentage of City contracts awarded to worker cooperatives, disaggregated by agency and type of business.",Annually,Mayor's Office of Contract Services (MOCS),https://data.cityofnewyork.us/City-Government/Local-Law-22-of-2015-Worker-Cooperative-Reports/aejp-3ws7,City Government,dataset,tabular,8643.0,8.64 KB,2020-04-25
908,af2s-4k4p,DVS Resource Map,123,2513,"Assistance requests for services, care, or resources supported via phone, in-person, postal mail or electronic mail. Assistance and support involve connecting City veterans and their families to a coordinated network of public, private and non-profit organizations.",One-time,Department of Veterans' Services (DVS),https://data.cityofnewyork.us/Social-Services/DVS-Resource-Map/af2s-4k4p,Social Services,dataset,tabular,121241.0,121.24 KB,2020-01-13
909,af3x-y3y3,School Closure Discharge By Grade,150,288,"New York City public schools closed for poor performance. This report provides data regarding students enrolled in these schools during the school year, according to the guidelines set by Local Law 043",One-time,NYC Department of Education,https://data.cityofnewyork.us/Education/2015-2016-School-Closure-Discharge-By-Grade/af3x-y3y3,Education,dataset,tabular,47882.0,47.88 KB,2018-02-20
910,afsf-hz68,Credited Job Placement Report,907,1935,Statistics on monthly job placement trends.,One-time,Human Resources Administration (HRA),https://data.cityofnewyork.us/Social-Services/Credited-Job-Placement-Report-Historical-/afsf-hz68,Social Services,dataset,tabular,7675.0,7.67 KB,2020-10-27
913,aht6-vxai,Open Article 7 Petitions,1794,1827,"The information in the City's computer records with respect to open petitions challenging real property tax assessments pursuant to Article 7 of the Real Property Tax Law: contains the index number and year the petition was commenced, the name of the petitioner, the name of the attorney for the petitioner, and various note of issue codes.",Annually,NYC Tax Commission (TAXCOMM),https://data.cityofnewyork.us/City-Government/Open-Article-7-Petitions/aht6-vxai,City Government,dataset,tabular,12402048.0,12.4 MB,2020-06-26
915,aizm-q3sx,Newsrack Inspections,558,995,"Tracks complaints, inspections and reinspections of News racks and reports on the Inspection results.",Monthly,Department of Transportation (DOT),https://data.cityofnewyork.us/Transportation/Newsrack-Inspections/aizm-q3sx,Transportation,dataset,tabular,1190424.0,1.19 MB,2021-12-01
916,ajgi-hpq9,Class Size Report District Level Detail Final,110,180,"Average class sizes for each school, by grade and program type (General Education, Self-Contained Special Education, Collaborative Team Teaching (CTT)) for grades K-9 (where grade 9 is not reported by subject area).",One-time,Other,https://data.cityofnewyork.us/Education/2013-2014-Class-Size-Report-District-Level-Detail-/ajgi-hpq9,Education,dataset,tabular,181531.0,181.53 KB,2019-04-08
917,ajh7-4wqg,Cornerstone Award,130,206,"List of 2017 Cornerstone Awards created for Brooklyn residents with the longest residency in their block, building, or neighborhood. Cornerstone Awardees are nominated by their block/civic/tenant association.",One-time,Brooklyn Borough President,https://data.cityofnewyork.us/Social-Services/Cornerstone-Award-2017/ajh7-4wqg,Social Services,dataset,tabular,3325.0,3.33 KB,2019-10-25
918,ajin-fesn,Physical Education - Licensed Teachers,89,43,Local Law 102 enacted in 2015 requires the Department of Education of the New York City School District to submit to the Council an annual report concerning physical education for the prior school year.     This report provides information about average frequency and average total minutes per week of physical education as defined in Local Law 102 as reported through the 2017-18 STARS database. It is important to note that schools self-report their scheduling information in STARS. The report also includes information regarding the number and ratio of certified physical education instructors and designated physical education instructional space.,Annually,NYC Department of Education,https://data.cityofnewyork.us/Education/2017-2018-Physical-Education-Licensed-Teachers/ajin-fesn,Education,dataset,tabular,97545.0,97.55 KB,2020-12-22
919,ajxm-kzmj,ARCHIVED - NYC Greenthumb Community Gardens,13182,5179,Listing of NYC Greenthumb community gardens.  *For current GreenThumb info please visit the GreenThumb Garden Data Collection here: https://data.cityofnewyork.us/browse?Data-Collection_Data-Collection=GreenThumb+Gardens&q=greenthumb *,One-time,Department of Parks and Recreation (DPR),https://data.cityofnewyork.us/Environment/ARCHIVED-NYC-Greenthumb-Community-Gardens/ajxm-kzmj,Environment,dataset,tabular,105222.0,105.22 KB,2017-09-16
921,ak2e-nbe8,DSNY Zones,465,440,"This dataset contains a shape file of DSNY Zones. For operations management, the NYC Department of Sanitation (DSNY) divides the City into seven operation zones (Manhattan, Bronx, Brooklyn North, Brooklyn South, Queens West, Queens East, and Staten Island). These zones are further divided into 59 Sanitation Districts. The boundary for each DSNY district is congruent with NYC Community District boundaries.",Monthly,Department of Sanitation,https://data.cityofnewyork.us/City-Government/DSNY-Zones/ak2e-nbe8,City Government,dataset,tabular,2960737.0,2.96 MB,2021-12-16
922,akzx-fghb,Social Distancing: Citywide Ambassador Data,721,621,"During the Covid-19 response, the Mayors Office of Operations worked with several city agencies to deploy Interagency Ambassadors across NYC parks to educate patrons on social distancing. This dataset contains encounters and non-encounters during deployment recorded by these Interagency Ambassadors.  This is part of the NYC Parks Covid-19 Social Distancing and Enforcement Data Collection: https://data.cityofnewyork.us/browse?Data-Collection_Data-Collection=NYC+Parks+Covid-19+Social+Distancing+and+Enforcement&q=nyc+parks+covid  Data Dictionary:  https://docs.google.com/spreadsheets/d/1ofOI4WqlXfrRAqEdNDA15QFmKJTMjTXlwcG5uyxZybg/edit?usp=sharing",Daily,Other,https://data.cityofnewyork.us/City-Government/Social-Distancing-Citywide-Ambassador-Data/akzx-fghb,City Government,dataset,tabular,1457041.0,1.46 MB,2021-11-22
923,am74-3pnv,Avg Class Size Borough MSHS,124,209,2017 - 2018 Avg Class Size Borough MSHS,One-time,NYC Department of Education,https://data.cityofnewyork.us/Education/2017-2018-Avg-Class-Size-Borough-MSHS/am74-3pnv,Education,dataset,tabular,28162.0,28.16 KB,2018-04-20
926,an6v-iuem,NYCHA Resident Jobs Programs and Training,3030,2458,Job preparation or training programs,Annually,NYC Housing Authority (NYCHA),https://data.cityofnewyork.us/Social-Services/NYCHA-Resident-Jobs-Programs-and-Training/an6v-iuem,Social Services,dataset,tabular,5638.0,5.64 KB,2013-03-28
927,ap68-7a8h,School Closure Discharge Report Borough - Age/ELL/SWD/Gender/Grade/Ethnicity,76,34,"In June 2018, 10 New York City public schools were closed.  This report provides data regarding students enrolled in these schools during the 2017-18 school year, according to the guidelines set by Local Law 2011/043",Annually,NYC Department of Education,https://data.cityofnewyork.us/Education/2017-2018-School-Closure-Discharge-Report-Borough-/ap68-7a8h,Education,dataset,tabular,29414.0,29.41 KB,2020-12-22
928,apih-xnk4,Students with Multiple Removals or Suspensions - Grade Level,128,61,"Student with two or more suspensions and/or removals annual report aggregated by grade level, district, borough and school number.",Annually,NYC Department of Education,https://data.cityofnewyork.us/Education/2017-2018-Students-with-Multiple-Removals-or-Suspe/apih-xnk4,Education,dataset,tabular,136046.0,136.05 KB,2020-11-16
930,aq7p-fpw6,Department for the Aging  Reported Service Units by Month of Elderly Abuse and Crime Prevention Contracted Providers,187,389,Reported Units of Service by Month of registered and contracted agencies providing Elderly Abuse and Crime Prevention Services.,Monthly,Department for the Aging (DFTA),https://data.cityofnewyork.us/Social-Services/Department-for-the-Aging-DFTA-Reported-Service-Uni/aq7p-fpw6,Social Services,dataset,tabular,5754.0,5.75 KB,2021-10-28
932,aqs7-v55z,Donations Received by City Agencies,109,46,"Each City agency is required by rule of the Conflicts of Interest Board to disclose all donations of $5,000 or greater.  This dataset lists donations reported by City agencies for calendar year 2020.",Annually,Conflicts of Interest Board (COIB),https://data.cityofnewyork.us/City-Government/Donations-Received-by-City-Agencies/aqs7-v55z,City Government,dataset,tabular,152973.0,152.97 KB,2021-08-19
933,aqu8-c9ea,Department for the Aging  Services by Geriatric Mental Health Contracted Providers,231,562,Summary of DFTA Geriatric Mental Health Contracts Budgeted Service Units by Service.,Monthly,Department for the Aging (DFTA),https://data.cityofnewyork.us/Social-Services/Department-for-the-Aging-DFTA-Services-by-Geriatri/aqu8-c9ea,Social Services,dataset,tabular,2441.0,2.44 KB,2020-11-15
935,arhf-esqb,DOP Adult Probationers Rearrested As A Percentage Of NYPD Arrest Report,639,1309,The percentage of adult probationer arrests relative to all arrests recorded by the Police Department during the reporting period.,Monthly,Department of Probation (DOP),https://data.cityofnewyork.us/Public-Safety/DOP-Adult-Probationers-Rearrested-As-A-Percentage-/arhf-esqb,Public Safety,dataset,tabular,1682.0,1.68 KB,2021-10-29
938,as69-ew8f,Over Dimensional Vehicle Permits,566,494,"The Over Dimensional Vehicle Permit (ODVP) is a web application used by trucking companies to apply for Daily Permits for over dimensional vehicles.  Main permit record, one row per permit.   For Permit Stipulation dataset, please follow <a href=""https://data.cityofnewyork.us/dataset/dbo-PMO_ODVP_PermitStipulations/t9iz-i583"">this link</a>.",Monthly,Department of Transportation (DOT),https://data.cityofnewyork.us/Transportation/Over-Dimensional-Vehicle-Permits-ODVP-/as69-ew8f,Transportation,dataset,tabular,96413698.0,96.41 MB,2021-08-01
941,asdj-rj9b,CPAs,201,1,"This dataset captures Children's Play Areas (CPAs). CPAs are places within NYC Parks that have Play Units installed. Play Units are equipment designated for children. A single CPA is defined as a centroid (Point geometry) of a cluster of Play Units. While otherwise known as playgrounds, this term is deliberately avoided because Properties or subproperties named as 'playgrounds' may contain more than just Play Units (e.g., adult fitness equipment, basketball/handball courts, etc.), and may not contain Play Units at all.  For more background on this dataset, details about how it's derived, what you can learn from it (e.g. ""is there a play area near me?""), how it can be joined with other Parks data (e.g., Properties), maps and analysis - please see: https://github.com/NYC-Parks/ChildrensPlayAreas_public  User Guide: https://docs.google.com/document/d/1KrC4ObeFjpKKPZNKvZOe4dyp_YThzkF7VmrMO4-YI9E/edit?usp=sharing  Data Dictionary:  https://docs.google.com/spreadsheets/d/1wLCAPdqDYPh8fHiURSdd3v7-7WcbqxkWkUbbD29mm9Y/edit?usp=sharing",Monthly,Department of Parks and Recreation (DPR),https://data.cityofnewyork.us/dataset/CPAs/asdj-rj9b,Missing,map,tabular,945.0,945 bytes,2021-12-08
943,at9c-pdf7,"DOHMH and DEP Waterborne Disease Risk Assessment Program Annual Report Data: Percentage of interviewed cryptosporidiosis case-patients by type of tap water exposure before disease onset, by Immune Status",427,318,"Percentage of interviewed cryptosporidiosis case-patients by type of tap water exposure before disease onset, by Immune Status, New York City, 1995 - 2016   *Note: Determination of an association between exposure to possible risk factors for cryptosporidiosis and acquisition of cryptosporidiosis cannot be made without reference to a suitable control population (i.e., non-Cryptosporidium-infected controls).  Format of case interview form changed on 1/1/1997, 5/11/2001, 8/21/2002, and 4/26/2010. From 1/1/1995 to 4/25/2010, case-patients were asked about Tap Water Exposure during the month before onset.  Starting 04/26/2010, case-patients were asked about Tap Water Exposure during the 14 days before onset.  Year 2000 percentage of interviewed cryptosporidiosis cases does not include 14 cases associated with a point source exposure at a swimming pool in Florida.  For more information on Waterborne Disease Risk Assessment Annual reports, please visit http://www.nyc.gov/html/dep/html/drinking_water/wdrap.shtml",Annually,Department of Health and Mental Hygiene (DOHMH),https://data.cityofnewyork.us/Health/DOHMH-and-DEP-Waterborne-Disease-Risk-Assessment-P/at9c-pdf7,Health,dataset,tabular,1452.0,1.45 KB,2021-07-14
945,au2v-djg4,NYC Health + Hospitals WTC 9/11 Health Center – common disorders –,2467,2239,"The NYC Health + Hospitals World Trade Center (WTC) Environmental Health Center, one of three 9/11 health Centers of Excellence in New York City, provides medical and mental healthcare to residents, students, workers, and passersby who may still be sick from 9/11. This data shows the major disorders suffered by patients who were enrolled between 4/1/2010 and 3/31/2011.",One-time,NYC Health + Hospitals,https://data.cityofnewyork.us/Health/NYC-Health-Hospitals-WTC-9-11-Health-Center-common/au2v-djg4,Health,dataset,tabular,134.0,134 bytes,2011-09-30
948,augs-s4dd,Mayor's Office to End Domestic and Gender-Based Violence Annual Fact Sheet,303,98,"The dataset contains annual count data for the number of intimate partner and family-related homicides homicides and domestic incident reports, calls to the domestic violence hotline, total and borough counts for client visits to the New York City Family Justice Centers and the number of trainings and workshops conducted by the ENDGBV Policy and and Training Unit.",Annually,Mayor's Office to End Domestic and Gender-Based Violence (ENDGBV),https://data.cityofnewyork.us/Public-Safety/Mayor-s-Office-to-End-Domestic-and-Gender-Based-Vi/augs-s4dd,Public Safety,dataset,tabular,6424.0,6.42 KB,2021-05-10
949,auj6-ur3j,"Cash Assistance Applications for Youth Heads of Household, Ages 16 - 20",55,19,"Cash Assistance applications ordered by case outcome and the reported age of the head of household on each case, ranging from ages 16 to 20 years old.",Annually,Human Resources Administration (HRA),https://data.cityofnewyork.us/Social-Services/Cash-Assistance-Applications-for-Youth-Heads-of-Ho/auj6-ur3j,Social Services,dataset,tabular,815.0,815 bytes,2021-10-06
951,auuc-fqzi,TLC Authorized Behind The Wheel Providers,582,1354,**NOTE**: This list is historical. The providers listed DO NOT offer this course. The course is on hold and will be offered again by different providers in late 2019.,One-time,Taxi and Limousine Commission (TLC),https://data.cityofnewyork.us/Transportation/TLC-Authorized-Behind-The-Wheel-Providers-Historic/auuc-fqzi,Transportation,dataset,tabular,833.0,833 bytes,2018-07-24
952,av3y-hmjv,Inventory of New York City Greenhouse Gas Emissions - Heating And Cooling Degree Days,708,589,Inventory of New York City Greenhouse Gas Emissions -  Heating And Cooling Degree Days (2004-2016),One-time,Mayor's Office of Climate and Sustainability,https://data.cityofnewyork.us/Environment/Inventory-of-New-York-City-Greenhouse-Gas-Emission/av3y-hmjv,Environment,dataset,tabular,1904.0,1.9 KB,2017-11-24
954,avh4-h5hx,BP Appointments - HHC Community Advisory Boards,152,156,This dates set represents Brooklyn Borough President's appointees to HHC Community Advisory Board.,Annually,Brooklyn Borough President,https://data.cityofnewyork.us/Health/BP-Appointments-HHC-Community-Advisory-Boards-CAB-/avh4-h5hx,Health,dataset,tabular,9032.0,9.03 KB,2019-11-21
955,avhb-5jhc,Cooking Gas Consumption And Cost,2003,705,Monthly consumption and cost data by borough and development. Data set includes utility vendor and meter information.,One-time,NYC Housing Authority (NYCHA),https://data.cityofnewyork.us/Housing-Development/Cooking-Gas-Consumption-And-Cost-2010-2020-/avhb-5jhc,Housing & Development,dataset,tabular,127269404.0,127.27 MB,2021-04-07
957,avir-tzek,Graduation Outcomes -  By Borough,9096,3981,"Graduation Outcomes - 4 Year Outcome - Cohorts of 2001 through 2006 (Classes of 2005 through 2010)   •The New York State calculation method was first adopted for the Cohort of 2001 (Class of 2005). The cohort consists of all students who first entered 9th grade in a given school year (e.g., the Cohort of 2006 entered 9th grade in the 2006-2007 school year). Graduates are defined as those students earning either a Local or Regents diploma and exclude those earning either a special education (IEP) diploma or GED. For the most recent cohort, graduation rates as of both June and August (including summer graduates) are reported.   •Records with cohorts of 20 students or less are suppressed. August outcomes are only reported for the most recent cohort.   •August outcomes include all June and August graduates.   •In school-level reporting, students who were in a school for less than 5 months are not included in the school’s cohort, but are included in citywide totals.   •School level results are not presented for District 79 schools, but their outcomes are included in citywide totals.",One-time,NYC Department of Education,https://data.cityofnewyork.us/Education/2005-2010-Graduation-Outcomes-By-Borough/avir-tzek,Education,dataset,tabular,45878.0,45.88 KB,2011-10-18
958,avsi-2fp7,Graduation Outcomes - School Level - SWD,534,1847,Latest available data and trends in graduation and dropout outcomes by school and disability status.,One-time,NYC Department of Education,https://data.cityofnewyork.us/Education/2005-2011-Graduation-Outcomes-School-Level-SWD/avsi-2fp7,Education,dataset,tabular,2475917.0,2.48 MB,2013-02-21
959,avz8-mqzz,For Hire Vehicle Trip Data,2979,330,"The For-Hire Vehicle (“FHV”) trip records include fields capturing the dispatching base license number and the pick-up date, time, and taxi zone location ID (shape file below). These records are generated from the FHV Trip Record submissions made by bases. Note: The TLC publishes base trip record data as submitted by the bases, and we cannot guarantee or confirm their accuracy or completeness. Therefore, this may not represent the total amount of trips dispatched by all TLC-licensed bases. The TLC performs routine reviews of the records and takes enforcement actions when necessary to ensure, to the extent possible, complete and accurate information.  For trip record data including TLC taxi zone location IDs, location names and corresponding boroughs for each ID can be found <a href=""https://s3.amazonaws.com/nyc-tlc/misc/taxi+_zone_lookup.csv"">here</a>. A shapefile containing the boundaries for the taxi zones can be found <a href=""https://s3.amazonaws.com/nyc-tlc/misc/taxi_zones.zip"">here</a>.",One-time,Taxi and Limousine Commission (TLC),https://data.cityofnewyork.us/Transportation/2017-For-Hire-Vehicle-Trip-Data/avz8-mqzz,Transportation,dataset,tabular,0.0,unknown,2018-10-22
960,ax85-bzte,DOHMH Tuberculosis Surveillance: Data from the Tuberculosis Control Annual Summary,730,429,Tuberculosis cases and rates by select characteristics table (1900-2016) from the Tuberculosis Control Annual Summary,Annually,Department of Health and Mental Hygiene (DOHMH),https://data.cityofnewyork.us/Health/DOHMH-Tuberculosis-Surveillance-Data-from-the-Tube/ax85-bzte,Health,dataset,tabular,1501.0,1.5 KB,2018-05-17
962,ay6v-3gm3,SNAP and Cash Assistance for NYCHA Residents - Local Law 163,495,229,"This dataset contains information about <a href=""https://www1.nyc.gov/site/hra/help/snap-benefits-food-program.page"">SNAP </a> and <a href=""https://www1.nyc.gov/site/hra/help/cash-assistance.page"">Cash Assistance</a>, services offered by the Department of Social Services (DSS)/Human Resources Administration (HRA) to help New Yorkers receive the federally-administered food benefits they qualify for. Each row in the dataset represents the number of public housing residents on a Borough-level who receive or utilize this service.  For datasets related to other services provided to NYCHA residents, view the data collection “Services available to NYCHA Residents - Local Law 163”.",Annually,Department of Social Services (DSS),https://data.cityofnewyork.us/Social-Services/SNAP-and-Cash-Assistance-for-NYCHA-Residents-Local/ay6v-3gm3,Social Services,dataset,tabular,892.0,892 bytes,2021-12-01
